,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Security Code
0,ABB India Limited,ABB,Abb India Limited,Active,A ,2,INE117A01022,Heavy Electrical Equipment,Equity,500002
1,Aegis Logistics Ltd.,AEGISLOG,Aegis Logistics Ltd.,Active,A ,1,INE208C01025,Oil Marketing & Distribution,Equity,500003
2,Amara Raja Batteries Ltd,AMARAJABAT,Amara Raja Batteries Ltd.,Active,A ,1,INE885A01032,Auto Parts & Equipment,Equity,500008
3,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,Ambalal Sarabhai Enterprises Ltd.,Active,X ,10,INE432A01017,Pharmaceuticals,Equity,500009
4,Housing Development Finance Corp.Lt,HDFC,Housing Development Finance Corp.Ltd.,Active,A ,2,INE001A01036,Housing Finance ,Equity,500010
5,"Andhra Petrochemicals Ltd.,",ANDHRAPET,Andhra Petrochemicals Ltd.,Active,XT,10,INE714B01016,Commodity Chemicals,Equity,500012
6,Ansal Properties & Infrastructure Ltd.,ANSALAPI,Ansal Properties & Infrastructure Ltd.,Active,B ,5,INE436A01026,Realty,Equity,500013
7,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,X ,10,INE096A01010,Finance (including NBFCs),Equity,500014
8,Aruna Hotels Ltd.,ARUNAHTEL,Aruna Hotels Ltd.,Active,XT,10,INE957C01019,Hotels,Equity,500016
9,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,Bombay Dyeing & Mfg.Co.Ltd.,Active,A ,2,INE032A01023,Textiles,Equity,500020
10,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10,INE363A01022,Hotels,Equity,500023
11,"Atul Limited.,",ATUL,Atul Ltd.,Active,A ,10,INE100A01010,Specialty Chemicals,Equity,500027
12,ATV Projects India Ltd,ATVPR,Atv Projects India Ltd.,Active,XT,10,INE447A01015,Construction & Engineering,Equity,500028
13,"Bajaj Electricals Ltd.,",BAJAJELEC,Bajaj Electricals Ltd.-$,Active,A ,2,INE193E01025,Household Appliances,Equity,500031
14,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,T ,1,INE306A01021,Sugar,Equity,500032
15,Force Motors Limited,FORCEMOT,Force Motors Ltd.-$,Active,A ,10,INE451A01017,Cars & Utility Vehicles,Equity,500033
16,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Active,A ,2,INE296A01024,Finance (including NBFCs),Equity,500034
17,Balrampur Chini Mills Ltd.,BALRAMCHIN,Balrampur Chini Mills Ltd.,Active,A ,1,INE119A01028,Sugar,Equity,500038
18,"Banco Products (India) Ltd.,",BANCOINDIA,Banco Products (India) Ltd.-$,Active,B ,2,INE213C01025,Auto Parts & Equipment,Equity,500039
19,"Century Textiles & Industries Ltd.,",CENTURYTEX,Century Textiles & Industries Ltd.,Active,A ,10,INE055A01016,Paper & Paper Products,Equity,500040
20,"Bannari Amman Sugars Ltd.,",BANARISUG,Bannari Amman Sugars Ltd.,Active,A ,10,INE459A01010,Sugar,Equity,500041
21,BASF India Ltd,BASF,Basf India Ltd.,Active,A ,10,INE373A01013,Specialty Chemicals,Equity,500042
22,Bata India Limited,BATAINDIA,Bata India Ltd.,Active,A ,5,INE176A01028,Footwear,Equity,500043
23,BEML Ltd,BEML,Beml Ltd.,Active,A ,10,INE258A01016,Commercial Vehicles,Equity,500048
24,"Bharat Electronics Ltd.,",BEL,Bharat Electronics Ltd.,Active,A ,1,INE263A01024,Defence,Equity,500049
25,"Bhansali Engineering Polymers Ltd.,",BEPL,Bhansali Engineering Polymers Ltd.-$,Active,A ,1,INE922A01025,Specialty Chemicals,Equity,500052
26,TATA STEEL BSL LIMITED,TATASTLBSL,Tata Steel Bsl Ltd,Active,B ,2,INE824B01021,Iron & Steel/Interm.Products,Equity,500055
27,Bihar Sponge Iron Ltd,BIHSPONG,Bihar Sponge Iron Ltd.,Active,XT,10,INE819C01011,Iron & Steel/Interm.Products,Equity,500058
28,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Active,T ,10,INE800A01015,Other Elect.Equip./ Prod.,Equity,500060
29,Blue Star Ltd,BLUESTARCO,Blue Star Ltd.,Active,A ,2,INE472A01039,Consumer Electronics,Equity,500067
30,Disa India Ltd.,DISAQ,Disa India Ltd.,Active,X ,10,INE131C01011,Industrial Machinery,Equity,500068
31,BNK Capital Markets Ltd.,BNKCAP,Bnk Capital Markets Ltd.,Active,X ,10,INE418C01012,Other Financial Services,Equity,500069
32,"BPL Ltd.,",BPL,Bpl Ltd.,Active,B ,10,INE110A01019,Consumer Electronics,Equity,500074
33,ORIENTAL AROMATICS LIMITED,OAL,Oriental Aromatics Ltd-$,Active,B ,5,INE959C01023,Specialty Chemicals,Equity,500078
34,"Century Extrusions Ltd.,",CENTEXT,Century Extrusions Ltd.,Active,B ,1,INE281A01026,Aluminium,Equity,500083
35,"CESC Limited,",CESC,Cesc Ltd.,Active,A ,10,INE486A01013,Electric Utilities,Equity,500084
36,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd.,Active,A ,10,INE085A01013,Fertilizers,Equity,500085
37,"Exide Industries Ltd.,",EXIDEIND,Exide Industries Ltd.,Active,A ,1,INE302A01020,Auto Parts & Equipment,Equity,500086
38,"Cipla Ltd.,",CIPLA,Cipla Ltd.,Active,A ,2,INE059A01026,Pharmaceuticals,Equity,500087
39,DIC India Ltd,DICIND,Dic India Ltd.,Active,B ,10,INE303A01010,Specialty Chemicals,Equity,500089
40,CRISIL Ltd.,CRISIL,Crisil Ltd.,Active,A ,1,INE007A01025,Other Financial Services,Equity,500092
41,CG Power and Industrial Solutions Limited,CGPOWER,Cg Power And Industrial Solutions Ltd,Active,T ,2,INE067A01029,Heavy Electrical Equipment,Equity,500093
42,Dabur India Ltd.,DABUR,Dabur India Ltd.,Active,A ,1,INE016A01026,Personal Products,Equity,500096
43,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar And Industries Ltd,Active,A ,2,INE495A01022,Sugar,Equity,500097
44,"Arvind Ltd.,",ARVIND,Arvind Ltd.,Active,A ,10,INE034A01011,Textiles,Equity,500101
45,"Ballarpur Industries Ltd.,",BALLARPUR,Ballarpur Industries Ltd.,Active,Z ,2,INE294A01037,Paper & Paper Products,Equity,500102
46,"Bharat Heavy Electricals Ltd.,",BHEL,Bharat Heavy Electricals Ltd.,Active,A ,2,INE257A01026,Heavy Electrical Equipment,Equity,500103
47,Hindustan Petroleum Corporation Ltd,HINDPETRO,Hindustan Petroleum Corporation Ltd.,Active,A ,10,INE094A01015,Refineries/ Petro-Products,Equity,500104
48,IFCI Ltd.,IFCI,Ifci Ltd.,Active,A ,10,INE039A01010,Financial Institutions,Equity,500106
49,"Mahanagar Telephone Nigam Ltd.,",MTNL,Mahanagar Telephone Nigam Ltd.,Active,B ,10,INE153A01019,Telecom Services,Equity,500108
50,Mangalore Refinery & Petrochemicals,MRPL,Mangalore Refinery & Petrochemicals Ltd.,Active,A ,10,INE103A01014,Refineries/ Petro-Products,Equity,500109
51,Chennai Petroleum Corporation Ltd.,CHENNPETRO,Chennai Petroleum Corporation Ltd.,Active,A ,10,INE178A01016,Refineries/ Petro-Products,Equity,500110
52,Reliance Capital Limited,RELCAPITAL,Reliance Capital Ltd.,Active,B ,10,INE013A01015,Finance (including NBFCs),Equity,500111
53,"State Bank Of India,",SBIN,State Bank Of India,Active,A ,1,INE062A01020,Banks,Equity,500112
54,"Steel Authority of India Ltd.,",SAIL,Steel Authority Of India Ltd.,Active,A ,10,INE114A01011,Iron & Steel/Interm.Products,Equity,500113
55,Titan Company Limited,TITAN,Titan Company Limited,Active,A ,1,INE280A01028,Other Apparels & Accessories,Equity,500114
56,IDBI Bank Ltd,IDBI,Idbi Bank Ltd.,Active,A ,10,INE008A01015,Banks,Equity,500116
57,"DCW Ltd.,",DCW,Dcw Ltd.,Active,B ,2,INE500A01029,Petrochemicals,Equity,500117
58,"Dhampur Sugar Mills Ltd.,",DHAMPURSUG,Dhampur Sugar Mills Ltd.,Active,A ,10,INE041A01016,Sugar,Equity,500119
59,"Diamines & Chemicals Ltd.,",DIAMINESQ,Diamines & Chemicals Ltd.-$,Active,X ,10,INE591D01014,Specialty Chemicals,Equity,500120
60,Elantas Beck India Ltd,ELANTAS,Elantas Beck India Ltd.-$,Active,A ,10,INE280B01018,Commodity Chemicals,Equity,500123
61,"Dr. Reddy's Laboratories Ltd.,",DRREDDY,Dr.Reddy'S Laboratories Ltd.,Active,A ,5,INE089A01023,Pharmaceuticals,Equity,500124
62,"E.I.D. Parry (India) Ltd.,",EIDPARRY,E.I.D.-Parry (India) Ltd.,Active,A ,1,INE126A01031,Sugar,Equity,500125
63,PROCTER & GAMBLE HEALTH LIMITED,PGHL,Procter & Gamble Health Ltd,Active,A ,10,INE199A01012,Pharmaceuticals,Equity,500126
64,"Electrosteel Castings Ltd.,",ELECTCAST,Electrosteel Castings Ltd.,Active,B ,1,INE086A01029,Construction & Engineering,Equity,500128
65,Esab India Ltd.,ESABINDIA,Esab India Ltd.,Active,A ,10,INE284A01012,Other Industrial Goods,Equity,500133
66,EPL LIMITED,EPL,Epl Ltd,Active,A ,2,INE255A01020,Containers & Packaging,Equity,500135
67,"Ester Industries Ltd.,",ESTER,Ester Industries Ltd.,Active,B ,5,INE778B01029,Containers & Packaging,Equity,500136
68,P.H. Capital Ltd.,PHCAP,Ph Capital Ltd.,Active,XT,10,INE160F01013,Comm.Trading  & Distribution,Equity,500143
69,"Finolex Cables Ltd.,",FINCABLES,Finolex Cables Ltd.,Active,A ,2,INE235A01022,Other Elect.Equip./ Prod.,Equity,500144
70,JOHN COCKERILL INDIA LIMITED,COCKERILL,John Cockerill India Ltd-$,Active,X ,10,INE515A01019,Industrial Machinery,Equity,500147
71,Uflex Limited,UFLEX,Uflex Ltd.,Active,A ,10,INE516A01017,Containers & Packaging,Equity,500148
72,Foseco India Ltd,FOSECOIND,Foseco India Ltd.,Active,B ,10,INE519A01011,Commodity Chemicals,Equity,500150
73,Golden Tobacco Ltd.,GOLDENTOBC,Golden Tobacco Ltd.,Active,B ,10,INE973A01010,Cigarettes-Tobacco Products,Equity,500151
74,"Ganesh Benzoplast Ltd.,",GANESHBE,Ganesh Benzoplast Ltd.,Active,X ,1,INE388A01029,Commodity Chemicals,Equity,500153
75,Metroglobal Limited,METROGLOBL,Metroglobal Limited,Active,X ,10,INE085D01033,Paper & Paper Products,Equity,500159
76,GTL Ltd,GTL,Gtl Ltd.,Active,T ,10,INE043A01012,Other Telecom Services,Equity,500160
77,"Godfrey Phillips India Ltd.,",GODFRYPHLP,Godfrey Phillips India Ltd.,Active,A ,2,INE260B01028,Cigarettes-Tobacco Products,Equity,500163
78,Godrej Industries Ltd.,GODREJIND,Godrej Industries Ltd.,Active,A ,1,INE233A01035,Commodity Chemicals,Equity,500164
79,Kansai Nerolac Paints,KANSAINER,Kansai Nerolac Paints Ltd.,Active,A ,1,INE531A01024,Furniture-Furnishing-Paints,Equity,500165
80,"Goodricke Group Ltd.,",GOODRICKE,Goodricke Group Ltd.,Active,X ,10,INE300A01016,Tea & Coffee,Equity,500166
81,"Goodyear India Ltd.,",GOODYEAR,Goodyear India Ltd.,Active,A ,10,INE533A01012,Auto Tyres & Rubber Products,Equity,500168
82,GTN Industries Limited,GTNINDS,Gtn Industries Ltd.,Active,XT,10,INE537A01013,Textiles,Equity,500170
83,GHCL Ltd.,GHCL,Ghcl Ltd.,Active,A ,10,INE539A01019,Commodity Chemicals,Equity,500171
84,GFL LIMITED,GFLLIMITED,Gfl Ltd,Active,A ,1,INE538A01037,Industrial Gases,Equity,500173
85,"Gujarat Lease Financing Limited,",GLFL,Gujarat Lease Financing Ltd.,Active,B ,10,INE540A01017,Finance (including NBFCs),Equity,500174
86,HCL Infosystems Ltd,HCL-INSYS,Hcl Infosystems Ltd.,Active,B ,2,INE236A01020,Computer Hardware,Equity,500179
87,HDFC Bank Ltd.,HDFCBANK,Hdfc Bank Ltd,Active,A ,1,INE040A01034,Banks,Equity,500180
88,Hero MotoCorp Limited,HEROMOTOCO,Hero Motocorp Ltd.,Active,A ,2,INE158A01026,2/3 Wheelers,Equity,500182
89,HFCL LIMITED,HFCL,Hfcl Ltd,Active,T ,1,INE548A01028,Telecom Cables,Equity,500183
90,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,Active,A ,1,INE019C01026,Specialty Chemicals,Equity,500184
91,"Hindustan Construction Co. Ltd.,",HCC,Hindustan Construction Co.Ltd.,Active,A ,1,INE549A01026,Construction & Engineering,Equity,500185
92,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,Hindustan Oil Exploration Co.Ltd.,Active,A ,10,INE345A01011,Exploration & Production,Equity,500186
93,HSIL Limited,HSIL,Hsil Ltd.,Active,B ,2,INE415A01038,Containers & Packaging,Equity,500187
94,"Hindustan Zinc Ltd.,",HINDZINC,Hindustan Zinc Ltd.,Active,A ,2,INE267A01025,Zinc,Equity,500188
95,NXTDIGITAL LIMITED ,NXTDIGITAL,Nxtdigital Ltd,Active,B ,10,INE353A01023,Broadcasting & Cable TV,Equity,500189
96,HMT Limited,HMT,Hmt Ltd.,Active,Z ,10,INE262A01018,Commercial Vehicles,Equity,500191
97,Prag Bosimi Synthetics Ltd.,PRAGBOS,Prag Bosimi Synthetics Ltd.,Active,XT,10,INE962B01011,Textiles,Equity,500192
98,HLV LIMITED,HLVLTD,Hlv Ltd,Active,B ,2,INE102A01024,Hotels,Equity,500193
99,IG Petrochemicals Ltd,IGPL,I G Petrochemicals Ltd.,Active,B ,10,INE204A01010,Commodity Chemicals,Equity,500199
100,India Glycols Ltd,INDIAGLYCO,India Glycols Ltd.,Active,A ,10,INE560A01015,Commodity Chemicals,Equity,500201
101,"India Lease Devl. Ltd.,",INDLEASE,India Lease Development Ltd.,Active,X ,10,INE333C01013,Finance (including NBFCs),Equity,500202
102,Margo Finance Limited,MARGOFIN,Margo Finance Limited,Active,XT,10,INE680B01019,Finance (including NBFCs),Equity,500206
103,"Indo Rama Synthetics (India) Ltd.,",INDORAMA,Indo Rama Synthetics (India) Ltd.,Active,T ,10,INE156A01020,Textiles,Equity,500207
104,Infosys Ltd,INFY,Infosys Ltd.,Active,A ,5,INE009A01021,IT Consulting & Software,Equity,500209
105,Ingersoll-Rand (India) Ltd.,INGERRAND,Ingersoll-Rand (India) Ltd.,Active,A ,10,INE177A01018,Industrial Machinery,Equity,500210
106,Insilco Ltd,INSILCO,Insilco Ltd.,Active,X ,10,INE901A01011,Other Industrial Goods,Equity,500211
107,Integrated Financial Services Ltd.,IFSL,Integrated Financial Services Ltd.,Active,XT,10,INE898B01017,Finance (including NBFCs),Equity,500212
108,International Travel House Ltd,ITHL,International Travel House Ltd.-$,Active,X ,10,INE262B01016,Travel Support Services,Equity,500213
109,Ion Exchange (India) Ltd,IONEXCHANG,Ion Exchange (India) Ltd.-$,Active,A ,10,INE570A01014,Industrial Machinery,Equity,500214
110,Agro Tech Foods Ltd,ATFL,Agro Tech Foods Ltd.,Active,A ,10,INE209A01019,Other Agricultural Products,Equity,500215
111,"Jain Irrigation Systems Ltd.,",JISLJALEQS,Jain Irrigation Systems Ltd.,Active,A ,2,INE175A01038,Plastic Products,Equity,500219
112,Jasch Industries Ltd.,JASCH,Jasch Industries Ltd.,Active,X ,10,INE711C01010,Textiles,Equity,500220
113,JCT Ltd,JCTLTD,Jct Ltd.,Active,X ,2.5,INE945A01026,Textiles,Equity,500223
114,Jindal Poly Films Ltd.,JINDALPOLY,Jindal Poly Films Ltd.,Active,A ,10,INE197D01010,Containers & Packaging,Equity,500227
115,JSW Steel Limited,JSWSTEEL,Jsw Steel Ltd.,Active,A ,1,INE019A01038,Iron & Steel/Interm.Products,Equity,500228
116,Umang Dairies Limited,UMANGDAIR,Umang Dairies Ltd.,Active,B ,5,INE864B01027,Packaged Foods,Equity,500231
117,Kajaria Ceramics Ltd,KAJARIACER,Kajaria Ceramics Ltd.,Active,A ,1,INE217B01036,Furniture-Furnishing-Paints,Equity,500233
118,Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM,Kakatiya Cement Sugar & Industries Ltd.,Active,B ,10,INE437B01014,Cement & Cement Products,Equity,500234
119,Kalyani Steels Ltd,KSL,Kalyani Steels Ltd.,Active,A ,5,INE907A01026,Iron & Steel/Interm.Products,Equity,500235
120,Kanel Industries Limited,KANELIND,Kanel Industries Limited,Active,XT,10,INE252C01015,Comm.Trading  & Distribution,Equity,500236
121,Whirlpool of India Ltd,WHIRLPOOL,Whirlpool Of India Ltd.,Active,A ,10,INE716A01013,Consumer Electronics,Equity,500238
122,K.G.Denim Ltd,KGDENIM,Kg Denim Ltd.,Active,X ,10,INE104A01012,Textiles,Equity,500239
123,"Kinetic Engineering Ltd.,",KINETICENG,Kinetic Engineering Ltd.,Active,XT,10,INE266B01017,2/3 Wheelers,Equity,500240
124,"Kirloskar Brothers Ltd.,",KIRLOSBROS,Kirloskar Brothers Ltd.-$,Active,T ,2,INE732A01036,Industrial Machinery,Equity,500241
125,Kirloskar Industries Ltd,KIRLOSIND,Kirloskar Industries Ltd,Active,B ,10,INE250A01039,Industrial Machinery,Equity,500243
126,Kirloskar Ferrous Industries Ltd.,KIRLFER,Kirloskar Ferrous Industries Ltd.,Active,B ,5,INE884B01025,Iron & Steel/Interm.Products,Equity,500245
127,Envair Electrodyne Ltd.,ENVAIREL,Envair Electrodyne Ltd.,Active,X ,10,INE601C01013,Industrial Machinery,Equity,500246
128,Kotak Mahindra Bank Ltd.,KOTAKBANK,Kotak Mahindra Bank Ltd.,Active,A ,5,INE237A01028,Banks,Equity,500247
129,KRISHNA FILAMENT INDUSTRIES LIMITED,KRIFILIND,Krishna Filament Industries Ltd,Active,X ,10,INE073A01019,Plastic Products,Equity,500248
130,KSB LIMITED,KSB,Ksb Ltd,Active,A ,10,INE999A01015,Industrial Machinery,Equity,500249
131,L.g.Balkrishnan & Bros. Ltd.,LGBBROSLTD,L.G.Balakrishnan & Bros.Ltd.,Active,A ,10,INE337A01034,Auto Parts & Equipment,Equity,500250
132,Trent Ltd [Lakme Ltd],TRENT,Trent Ltd.,Active,A ,1,INE849A01020,Specialty Retail,Equity,500251
133,"Lakshmi Machine Works Ltd.,",LAXMIMACH,Lakshmi Machine Works Ltd.,Active,A ,10,INE269B01029,Industrial Machinery,Equity,500252
134,Lic Housing Finance Ltd.,LICHSGFIN,Lic Housing Finance Ltd.,Active,A ,2,INE115A01026,Housing Finance ,Equity,500253
135,Lupin Ltd,LUPIN,Lupin Ltd.,Active,A ,2,INE326A01037,Pharmaceuticals,Equity,500257
136,"Lyka Labs Ltd.,",LYKALABS,Lyka Labs Ltd.,Active,B ,10,INE933A01014,Pharmaceuticals,Equity,500259
137,The Ramco Cements Limited,RAMCOCEM,The Ramco Cements Limited,Active,A ,1,INE331A01037,Cement & Cement Products,Equity,500260
138,"Mafatlal Industries Ltd.,",MAFATIND,Mafatlal Industries Ltd.-$,Active,X ,10,INE270B01027,Textiles,Equity,500264
139,Maharashtra Seamless Ltd.,MAHSEAMLES,Maharashtra Seamless Ltd.,Active,A ,5,INE271B01025,Iron & Steel Products,Equity,500265
140,"Maharashtra Scooters Ltd.,",MAHSCOOTER,Maharashtra Scooters Ltd.,Active,A ,10,INE288A01013,Investment Companies,Equity,500266
141,"Majestic Auto Ltd.,",MAJESAUT,Majestic Auto Ltd.-$,Active,XT,10,INE201B01022,2/3 Wheelers,Equity,500267
142,"Manali Petrochemicals Ltd.,",MANALIPETC,Manali Petrochemical Ltd.,Active,T ,5,INE201A01024,Petrochemicals,Equity,500268
143,Max Financial Services Limited,MFSL,Max Financial Services Ltd,Active,A ,2,INE180A01020,Life Insurance,Equity,500271
144,Mesco Pharmaceuticals Ltd.,MESPHAR-B,Mesco Pharmaceuticals Ltd.,Active,P ,10,INE839X01015,Pharmaceuticals,Equity,500274
145,Mirc Electronics Ltd,MIRCELECTR,Mirc Electronics Ltd.,Active,T ,1,INE831A01028,Consumer Electronics,Equity,500279
146,"Century Enka Ltd.,",CENTENKA,Century Enka Ltd.,Active,B ,10,INE485A01015,Textiles,Equity,500280
147,Lords Chloro Alkali Ltd,LORDSCHLO,Lords Chloro Alkali Ltd.,Active,XT,10,INE846D01012,Commodity Chemicals,Equity,500284
148,SpiceJet Limited,SPICEJET,Spicejet Ltd.,Active,A ,10,INE285B01017,Airlines,Equity,500285
149,Morepen Laboratories Ltd.,MOREPENLAB,Morepen Laboratories Ltd.,Active,A ,2,INE083A01026,Pharmaceuticals,Equity,500288
150,"M.R.F. Ltd.,",MRF,Mrf Ltd.,Active,A ,10,INE883A01011,Auto Tyres & Rubber Products,Equity,500290
151,HeidelbergCement  India Limited,HEIDELBERG,Heidelbergcement India Ltd.,Active,A ,10,INE578A01017,Cement & Cement Products,Equity,500292
152,NCC Limited,NCC,NCC Limited,Active,A ,2,INE868B01028,Construction & Engineering,Equity,500294
153,Vedanta Limited,VEDL,Vedanta Limited,Active,A ,1,INE205A01025,Aluminium,Equity,500295
154,"Nahar Spinning Mills Ltd.,",NAHARSPING,Nahar Spinning Mills Ltd.,Active,T ,5,INE290A01027,Textiles,Equity,500296
155,National Peroxide Ltd.,NATPEROX,National Peroxide Ltd.,Active,A ,10,INE585A01020,Commodity Chemicals,Equity,500298
156,"Grasim Industries Ltd.,",GRASIM,Grasim Industries Ltd.,Active,A ,2,INE047A01021,Cement & Cement Products,Equity,500300
157,Piramal Enterprises Limited,PEL,Piramal Enterprises Ltd.,Active,A ,2,INE140A01024,Other Financial Services,Equity,500302
158,"NIIT Ltd.,",NIITLTD,Niit Ltd.,Active,A ,2,INE161A01038,IT Training Services,Equity,500304
159,Jaykay Enterprises Limited,JAYKAY,Jaykay Enterprises Ltd.,Active,X ,1,INE903A01025,Finance (including NBFCs),Equity,500306
160,"Nirlon Limited,",NIRLON,Nirlon Ltd.,Active,A ,10,INE910A01012,Misc.Commercial Services,Equity,500307
161,Oil And Natural Gas Corporation Ltd,ONGC,Oil And Natural Gas Corporation Ltd,Active,A ,5,INE213A01029,Exploration & Production,Equity,500312
162,Oil Country Tubular Ltd.,OILCOUNTUB,Oil Country Tubular Ltd.,Active,T ,10,INE591A01010,Oil Equipment & Services,Equity,500313
163,"Oriental Hotels Ltd.,",ORIENTHOT,Oriental Hotels Ltd.,Active,B ,1,INE750A01020,Hotels,Equity,500314
164,"Oswal Agro Mills Ltd.,",OSWALAGRO,Oswal Agro Mills Ltd.,Active,B ,10,INE142A01012,Investment Companies,Equity,500317
165,Indian Sucrose Ltd.,INDSUCR,Indian Sucrose Ltd.,Active,XT,10,INE557C01017,Sugar,Equity,500319
166,Reliance Industries Ltd,RELIANCE,Reliance Industries Ltd.,Active,A ,10,INE002A01018,Integrated Oil & Gas,Equity,500325
167,Pil Italica Lifestyle Limited,PILITA,Pil Italica Lifestyle Ltd,Active,B ,1,INE600A01035,Plastic Products,Equity,500327
168,Raymond Limited,RAYMOND,Raymond Ltd.,Active,A ,10,INE301A01014,Textiles,Equity,500330
169,Pidilite Industries Ltd.,PIDILITIND,Pidilite Industries Ltd.,Active,A ,1,INE318A01026,Specialty Chemicals,Equity,500331
170,"Pix Transmissions Ltd.,",PIXTRANS,Pix Transmissions Ltd.,Active,X ,10,INE751B01018,Auto Tyres & Rubber Products,Equity,500333
171,Birla Corporation Ltd.,BIRLACORPN,Birla Corporation Ltd.,Active,A ,10,INE340A01012,Cement & Cement Products,Equity,500335
172,"Surya Roshni Ltd.,",SURYAROSNI,Surya Roshni Ltd.,Active,A ,10,INE335A01012,Diversified,Equity,500336
173,Prime Securities Ltd.,PRIMESECU,Prime Securities Ltd.,Active,B ,5,INE032B01021,Other Financial Services,Equity,500337
174,PRISM JOHNSON LIMITED.,PRSMJOHNSN,Prism Johnson Ltd,Active,A ,10,INE010A01011,Cement & Cement Products,Equity,500338
175,Rain Industries Limited,RAIN,Rain Industries Ltd,Active,A ,2,INE855B01025,Petrochemicals,Equity,500339
176,AMJ LAND HOLDINGS LIMITED,AMJLAND,Amj Land Holdings Ltd,Active,B ,2,INE606A01024,Realty,Equity,500343
177,Punjab Communications Limited,PUNJCOMMU,Punjab Communications Ltd.-$,Active,B ,10,INE609A01010,Telecom Equipment,Equity,500346
178,RSWM Limited,RSWM,Rswm Ltd.,Active,B ,10,INE611A01016,Textiles,Equity,500350
179,"Rajshree Sugars & Chemicals Ltd.,",RAJSREESUG,Rajshree Sugars & Chemicals Ltd.,Active,B ,10,INE562B01019,Sugar,Equity,500354
180,Rallis India Ltd,RALLIS,Rallis India Ltd.,Active,A ,1,INE613A01020,Agrochemicals,Equity,500355
181,Shree Rama Newsprint Limited,RAMANEWS,Shree Rama Newsprint Ltd.,Active,B ,10,INE278B01020,Paper & Paper Products,Equity,500356
182,"Rama Paper Mills Limited,",RAMAPPR-B,Rama Paper Mills Ltd.,Active,XT,10,INE425E01013,Paper & Paper Products,Equity,500357
183,Rama Petrochemicals Ltd,RAMAPETRO,Rama Petrochemicals Ltd.,Active,XT,10,INE783A01013,Finance (including NBFCs),Equity,500358
184,"Rapicut Carbides Ltd.,",RAPICUT,Rapicut Carbides Ltd.,Active,XT,10,INE350D01015,Industrial Machinery,Equity,500360
185,WELSPUN SPECIALTY SOLUTIONS LIMITED,WELSPLSOL,Welspun Specialty Solutions Ltd,Active,X ,6,INE731F01037,Iron & Steel/Interm.Products,Equity,500365
186,"Rolta India Ltd.,",ROLTA,Rolta India Ltd.,Active,T ,10,INE293A01013,Internet Software & Services,Equity,500366
187,Rubfila International Ltd.,RUBFILA,Rubfila International Ltd.,Active,X ,5,INE642C01025,Auto Tyres & Rubber Products,Equity,500367
188,Ruchi Soya Industries ltd.,RUCHISOYA,Ruchi Soya Industries Ltd.,Active,B ,2,INE619A01035,Edible Oils,Equity,500368
189,Salora International Limited,SALORAINTL,Salora International Ltd.,Active,XT,10,INE924A01013,Comm.Trading  & Distribution,Equity,500370
190,Jindal Saw Ltd.,JINDALSAW,Jindal Saw Ltd.,Active,A ,2,INE324A01024,Construction & Engineering,Equity,500378
191,JK Lakshmi Cement Limited,JKLAKSHMI,Jk Lakshmi Cement Ltd.,Active,A ,5,INE786A01032,Cement & Cement Products,Equity,500380
192,"Shree Cements Ltd.,",SHREECEM,Shree Cement Ltd.,Active,A ,10,INE070A01015,Cement & Cement Products,Equity,500387
193,Shree Krishna Paper Mills & Industr,SKPMIL,Shree Krishna Paper Mills & Industries Ltd.,Active,XT,10,INE970C01012,Paper & Paper Products,Equity,500388
194,Reliance Infrastructure Ltd,RELINFRA,Reliance Infrastructure Ltd.,Active,T ,10,INE036A01016,Electric Utilities,Equity,500390
195,Tata Power Co. Ltd,TATAPOWER,Tata Power Company Ltd.,Active,A ,1,INE245A01021,Electric Utilities,Equity,500400
196,SPML Infra Limited,SPMLINFRA,Spml Infra Limited,Active,B ,2,INE937A01023,Construction & Engineering,Equity,500402
197,"Sundram Fasteners Ltd.,",SUNDRMFAST,Sundram Fasteners Ltd.,Active,A ,1,INE387A01021,Auto Parts & Equipment,Equity,500403
198,"Sunflag Iron & Steel Co. Ltd.,",SUNFLAG,Sunflag Iron & Steel Co.Ltd.,Active,A ,10,INE947A01014,Iron & Steel/Interm.Products,Equity,500404
199,Supreme Petrochem Ltd.,SUPPETRO,Supreme Petrochem Ltd.,Active,T ,10,INE663A01017,Petrochemicals,Equity,500405
200,Swaraj Engines Ltd.,SWARAJENG,Swaraj Engines Ltd.,Active,A ,10,INE277A01016,Auto Parts & Equipment,Equity,500407
